name,position,cbs_points
Davante Adams,WR,22.2
Tyreek Hill,WR,20.1
DeAndre Hopkins,WR,19.2
Stefon Diggs,WR,19.2
Keenan Allen,WR,18.0
Calvin Ridley,WR,17.7
Justin Jefferson,WR,17.1
Allen Robinson,WR,16.3
Robert Woods,WR,16.2
DK Metcalf,WR,15.9
Cooper Kupp,WR,15.9
Amari Cooper,WR,15.6
A.J. Brown,WR,15.5
Tyler Lockett,WR,15.1
Terry McLaurin,WR,14.8
D.J. Moore,WR,14.5
Brandon Aiyuk,WR,14.4
Julio Jones,WR,14.3
CeeDee Lamb,WR,14.3
D.J. Chark,WR,14.2
Adam Thielen,WR,14.2
JuJu Smith-Schuster,WR,14.0
Chris Godwin,WR,13.9
Courtland Sutton,WR,13.7
Diontae Johnson,WR,13.7
Tee Higgins,WR,13.6
Tyler Boyd,WR,13.5
Ja'Marr Chase,WR,13.1
Chase Claypool,WR,13.1
Mike Evans,WR,12.9
Deebo Samuel,WR,12.9
Brandin Cooks,WR,12.8
Kenny Golladay,WR,12.8
Robby Anderson,WR,12.7
Michael Thomas,WR,16.6
Marvin Jones,WR,12.6
Will Fuller,WR,12.3
Emmanuel Sanders,WR,12.3
Jarvis Landry,WR,12.1
T.Y. Hilton,WR,12.1
Odell Beckham,WR,11.8
Jerry Jeudy,WR,11.8
Laviska Shenault Jr.,WR,11.6
Marquise Brown,WR,11.6
Cole Beasley,WR,11.5
Curtis Samuel,WR,11.5
DeVante Parker,WR,11.2
Darnell Mooney,WR,11.2
Antonio Brown,WR,11.1
Michael Pittman,WR,11.0
Michael Gallup,WR,11.0
Russell Gage,WR,10.9
Christian Kirk,WR,10.5
DeVonta Smith,WR,10.4
Tyrell Williams,WR,10.2
Sterling Shepard,WR,10.2
Mike Williams,WR,10.1
Jaylen Waddle,WR,10.1
Corey Davis,WR,10.0
Nelson Agholor,WR,9.9
Jamison Crowder,WR,9.8
Tre'Quan Smith,WR,9.7
Mecole Hardman,WR,9.5
Randall Cobb,WR,9.3
Terrace Marshall Jr.,WR,9.2
Rondale Moore,WR,9.1
John Brown,WR,9.1
Jalen Reagor,WR,9.0
Gabriel Davis,WR,9.0
A.J. Green,WR,9.0
Preston Williams,WR,8.7
Allen Lazard,WR,8.6
Breshad Perriman,WR,8.6
Zach Pascal,WR,8.5
Rashod Bateman,WR,8.4
Henry Ruggs III,WR,8.4
Tim Patrick,WR,8.3
Hunter Renfrow,WR,8.3
Damiere Byrd,WR,8.3
DeSean Jackson,WR,8.2
