name,position,team,AVG,source,format,drafts,season
Adrian Peterson,RB,MIN,1.2,fantasyfootballcalculator,ppr,764,2013
Jamaal Charles,RB,KC,3.2,fantasyfootballcalculator,ppr,764,2013
Doug Martin,RB,TB,3.6,fantasyfootballcalculator,ppr,764,2013
Arian Foster,RB,HOU,3.8,fantasyfootballcalculator,ppr,764,2013
Calvin Johnson,WR,DET,5.6,fantasyfootballcalculator,ppr,764,2013
C.J. Spiller,RB,,6.3,fantasyfootballcalculator,ppr,764,2013
Ray Rice,RB,BAL,7.4,fantasyfootballcalculator,ppr,764,2013
Marshawn Lynch,RB,SEA,7.6,fantasyfootballcalculator,ppr,764,2013
LeSean McCoy,RB,PHI,8.2,fantasyfootballcalculator,ppr,764,2013
Trent Richardson,RB,IND,8.3,fantasyfootballcalculator,ppr,764,2013
Alfred Morris,RB,WAS,12.5,fantasyfootballcalculator,ppr,764,2013
Matt Forte,RB,CHI,12.7,fantasyfootballcalculator,ppr,764,2013
Dez Bryant,WR,DAL,13.7,fantasyfootballcalculator,ppr,764,2013
Jimmy Graham,TE,NO,14.3,fantasyfootballcalculator,ppr,764,2013
Chris Johnson,RB,NYJ,15.5,fantasyfootballcalculator,ppr,764,2013
Steven Jackson,RB,ATL,16.0,fantasyfootballcalculator,ppr,764,2013
A.J. Green,WR,CIN,17.2,fantasyfootballcalculator,ppr,764,2013
Reggie Bush,RB,DET,17.5,fantasyfootballcalculator,ppr,764,2013
Brandon Marshall,WR,CHI,19.3,fantasyfootballcalculator,ppr,764,2013
Stevan Ridley,RB,NE,19.4,fantasyfootballcalculator,ppr,764,2013
Maurice Jones-Drew,RB,LV,19.7,fantasyfootballcalculator,ppr,764,2013
Julio Jones,WR,ATL,22.0,fantasyfootballcalculator,ppr,764,2013
David Wilson,RB,NYG,25.1,fantasyfootballcalculator,ppr,764,2013
Demaryius Thomas,WR,DEN,25.5,fantasyfootballcalculator,ppr,764,2013
Frank Gore,RB,SF,26.2,fantasyfootballcalculator,ppr,764,2013
DeMarco Murray,RB,DAL,26.6,fantasyfootballcalculator,ppr,764,2013
Larry Fitzgerald,WR,ARI,27.9,fantasyfootballcalculator,ppr,764,2013
Darren Sproles,RB,PHI,28.0,fantasyfootballcalculator,ppr,764,2013
Lamar Miller,RB,MIA,28.9,fantasyfootballcalculator,ppr,764,2013
Randall Cobb,WR,GB,30.5,fantasyfootballcalculator,ppr,764,2013
Drew Brees,QB,NO,30.7,fantasyfootballcalculator,ppr,764,2013
Aaron Rodgers,QB,GB,31.8,fantasyfootballcalculator,ppr,764,2013
Darren McFadden,RB,LV,32.6,fantasyfootballcalculator,ppr,764,2013
Rob Gronkowski,TE,NE,33.7,fantasyfootballcalculator,ppr,764,2013
Andre Johnson,WR,HOU,34.2,fantasyfootballcalculator,ppr,764,2013
Roddy White,WR,ATL,34.4,fantasyfootballcalculator,ppr,764,2013
Eddie Lacy,RB,GB,37.3,fantasyfootballcalculator,ppr,764,2013
Victor Cruz,WR,NYG,38.8,fantasyfootballcalculator,ppr,764,2013
Vincent Jackson,WR,TB,41.0,fantasyfootballcalculator,ppr,764,2013
Peyton Manning,QB,DEN,42.2,fantasyfootballcalculator,ppr,764,2013
