name,position,Yahoo,Fantrax,FFC,Sleeper,AVG
Christian McCaffrey,RB,1,1,1,1,1.0
Dalvin Cook,RB,2,2,2,2,2.0
Derrick Henry,RB,3,3,3,3,3.0
Alvin Kamara,RB,4,4,4,4,4.0
Ezekiel Elliott,RB,5,5,5,5,5.0
Nick Chubb,RB,6,6,8,6,6.5
Aaron Jones,RB,7,9,6,7,7.3
Davante Adams,WR,9,8,7,11,8.8
Jonathan Taylor,RB,10,7,13,9,9.8
Tyreek Hill,WR,8,12,11,10,10.3
Saquon Barkley,RB,11,11,12,8,10.5
Travis Kelce,TE,12,10,9,12,10.8
Austin Ekeler,RB,14,13,10,13,12.5
Stefon Diggs,WR,13,14,16,16,14.8
Najee Harris,RB,16,15,14,14,14.8
Antonio Gibson,RB,17,16,15,21,17.3
DeAndre Hopkins,WR,19,18,19,15,17.8
Patrick Mahomes II,QB,15,17,22,19,18.3
Joe Mixon,RB,21,20,17,17,18.8
Calvin Ridley,WR,18,21,18,20,19.3
D.K. Metcalf,WR,20,19,21,18,19.5
Clyde Edwards-Helaire,RB,24,22,20,22,22.0
Darren Waller,TE,25,23,23,25,24.0
Justin Jefferson,WR,22,24,24,28,24.5
A.J. Brown,WR,23,25,26,24,24.5
George Kittle,TE,32,26,30,23,27.8
Keenan Allen,WR,31,28,29,26,28.5
David Montgomery,RB,34,27,27,27,28.8
Chris Carson,RB,33,30,25,29,29.3
Terry McLaurin,WR,29,32,31,30,30.5
Josh Allen,QB,27,29,34,36,31.5
Allen Robinson II,WR,30,34,35,32,32.8
Josh Jacobs,RB,38,31,32,31,33.0
CeeDee Lamb,WR,35,33,33,37,34.5
Mike Evans,WR,36,37,40,34,36.8
D'Andre Swift,RB,44,36,36,35,37.8
James Robinson,RB,56,35,28,33,38.0
Miles Sanders,RB,40,38,37,38,38.3
Kyler Murray,QB,43,40,39,39,40.3
Chris Godwin,WR,37,41,46,40,41.0
Robert Woods,WR,45,39,38,45,41.8
Amari Cooper,WR,42,42,43,41,42.0
Lamar Jackson,QB,39,46,49,46,45.0
Cooper Kupp,WR,41,44,48,47,45.0
Julio Jones,WR,50,43,47,43,45.8
Kyle Pitts,TE,46,56,45,44,47.8
Darrell Henderson,RB,49,66,42,42,49.8
Tyler Lockett,WR,47,48,56,51,50.5
Myles Gaskin,RB,61,45,44,53,50.8
Mark Andrews,TE,48,54,55,49,51.5
Adam Thielen,WR,54,47,57,52,52.5
D.J. Moore,WR,51,49,62,48,52.5
Kareem Hunt,RB,60,50,51,50,52.8
Diontae Johnson,WR,63,52,50,54,54.8
Dak Prescott,QB,55,55,61,58,57.3
T.J. Hockenson,TE,52,62,59,57,57.5
Russell Wilson,QB,53,57,70,56,59.0
Aaron Rodgers,QB,58,53,65,65,60.3
Brandon Aiyuk,WR,62,60,58,61,60.3
Justin Herbert,QB,59,61,66,59,61.3
Raheem Mostert,RB,74,63,52,67,64.0
Chase Edmonds,RB,72,65,63,60,65.0
Damien Harris,RB,66,71,53,71,65.3
Javonte Williams,RB,81,58,60,63,65.5
Tee Higgins,WR,69,64,67,64,66.0
Chase Claypool,WR,70,67,64,68,67.3
Odell Beckham Jr.,WR,71,68,73,69,70.3
Ja'Marr Chase,WR,87,59,81,66,73.3
Tom Brady,QB,65,74,76,79,73.5
Jerry Jeudy,WR,82,73,68,72,73.8
Ronald Jones II,RB,77,79,75,74,76.3
Kenny Golladay,WR,89,69,78,70,76.5
Gus Edwards,RB,88,92,54,73,76.8
Michael Thomas,WR,103,75,72,62,78.0
Trey Sermon,RB,78,88,69,77,78.0
Logan Thomas,TE,73,82,71,92,79.5
Melvin Gordon III,RB,93,76,74,75,79.5
Robby Anderson,WR,83,77,86,80,81.5
JuJu Smith-Schuster,WR,92,72,91,76,82.8
Courtland Sutton,WR,101,80,83,78,85.5
Noah Fant,TE,91,87,82,82,85.5
Deebo Samuel,WR,94,81,92,81,87.0
DeVonta Smith,WR,117,70,84,84,88.8
Robert Tonyan,TE,80,102,88,87,89.3
Leonard Fournette,RB,100,84,89,85,89.5
Antonio Brown,WR,104,85,77,95,90.3
Matthew Stafford,QB,99,89,87,89,91.0
Tyler Boyd,WR,102,78,99,90,92.3
Michael Carter,RB,113,90,79,88,92.5
Jalen Hurts,QB,75,96,101,104,94.0
Dallas Goedert,TE,90,108,94,86,94.5
AJ Dillon,RB,105,95,80,99,94.8
Zack Moss,RB,108,99,85,93,96.3
D.J. Chark Jr.,WR,116,83,108,83,97.5
Ryan Tannehill,QB,97,93,97,103,97.5
Tyler Higbee,TE,67,117,102,105,97.8
James Conner,RB,107,91,96,97,97.8
Los Angeles Rams,DST,68,105,116,111,100.0
Brandin Cooks,WR,111,94,107,91,100.8
Laviska Shenault Jr.,WR,127,97,90,98,103.0
Corey Davis,WR,115,100,100,101,104.0
Tampa Bay Buccaneers,DST,84,119,121,100,106.0
Pittsburgh Steelers,DST,86,107,110,122,106.3
Jarvis Landry,WR,125,86,127,94,108.0
Kenyan Drake,RB,123,101,103,107,108.5
Mike Davis,RB,64,389,41,55,137.3
Devin Singletary,RB,129,104,93,113,109.8
Washington Football Team,DST,76,129,124,115,111.0
David Johnson,RB,109,114,109,112,111.0
Jamaal Williams,RB,122,113,95,117,111.8
Joe Burrow,QB,118,98,115,121,113.0
Rob Gronkowski,TE,114,116,123,102,113.8
Will Fuller V,WR,128,103,119,106,114.0
Jaylen Waddle,WR,150,106,111,96,115.8
Mike Gesicki,TE,119,124,113,109,116.3
Michael Pittman Jr.,WR,161,109,98,110,119.5
Baltimore Ravens,DST,98,126,137,119,120.0
Justin Tucker,K,79,118,150,134,120.3
Mike Williams,WR,139,112,125,108,121.0
Harrison Butker,K,85,127,142,137,122.8
Sony Michel,RB,112,146,104,136,124.5
Marquez Callaway,WR,124,137,106,135,125.5
Michael Gallup,WR,126,110,151,120,126.8
Tony Pollard,RB,169,120,105,124,129.5
San Francisco 49ers,DST,95,150,144,130,129.8
Curtis Samuel,WR,151,111,143,114,129.8
Mecole Hardman,WR,158,130,114,125,131.8
Trevor Lawrence,QB,137,135,138,118,132.0
Younghoe Koo,K,96,143,154,138,132.8
Darnell Mooney,WR,178,125,117,116,134.0
Nyheim Hines,RB,168,123,122,127,135.0
Henry Ruggs III,WR,165,132,128,126,137.8
Tyler Bass,K,106,152,160,140,139.5
Baker Mayfield,QB,140,139,141,142,140.5
Marvin Jones Jr.,WR,175,122,139,132,142.0
Marquise Brown,WR,180,115,153,123,142.8
Matt Ryan,QB,146,133,132,163,143.5
Justin Fields,QB,171,147,136,141,148.8
Latavius Murray,RB,190,128,126,152,149.0
Alexander Mattison,RB,197,138,118,151,151.0
Trey Lance,QB,211,144,120,129,151.0
Jonnu Smith,TE,204,141,129,139,153.3
Cole Beasley,WR,148,131,186,150,153.8
Elijah Moore,WR,198,140,148,133,154.8
Jakobi Meyers,WR,172,167,130,154,155.8
Greg Zuerlein,K,110,204,158,157,157.3
Russell Gage,WR,195,148,147,144,158.5
Buffalo Bills,DST,164,153,189,131,159.3
J.D. McKissic,RB,208,136,131,165,160.0
Jason Sanders,K,154,177,164,146,160.3
Phillip Lindsay,RB,186,217,112,128,160.8
DeVante Parker,WR,199,121,177,149,161.5
Zach Ertz,TE,142,158,171,178,162.3
Hunter Henry,TE,173,145,184,147,162.3
Rhamondre Stevenson,RB,179,187,133,155,163.5
James White,RB,170,156,149,180,163.8
Kirk Cousins,QB,156,149,183,169,164.3
Tevin Coleman,RB,203,160,134,161,164.5
Denver Broncos,DST,141,220,155,145,165.3
Chuba Hubbard,RB,217,164,140,143,166.0
Tua Tagovailoa,QB,157,151,167,195,167.5
Mac Jones,QB,133,154,187,203,169.3
Indianapolis Colts,DST,207,142,168,166,170.8
Ryan Succop,K,131,232,159,162,171.0
Rondale Moore,WR,183,162,178,164,171.8
Ben Roethlisberger,QB,144,161,174,211,172.5
Giovani Bernard,RB,196,168,135,194,173.3
Jameis Winston,QB,176,196,146,175,173.3
Evan Engram,TE,223,134,165,174,174.0
Cleveland Browns,DST,120,243,179,159,175.3
New England Patriots,DST,220,182,152,148,175.5
Rashaad Penny,RB,209,159,145,191,176.0
Terrace Marshall Jr.,WR,200,165,172,168,176.3
Gerald Everett,TE,181,176,163,187,176.8
Rodrigo Blankenship,K,202,185,157,167,177.8
Randall Cobb,WR,143,208,188,176,178.8
Nelson Agholor,WR,201,169,193,153,179.0
Jared Cook,TE,189,172,200,160,180.3
A.J. Green,WR,145,200,191,189,181.3
Pat Freiermuth,TE,138,188,199,205,182.5
