name,position,Yahoo,Sleeper,RTSports,AVG
Justin Jefferson,WR,1,1,1,1.0
Christian McCaffrey,RB,2,2,2,2.0
Ja'Marr Chase,WR,3,3,3,3.0
Austin Ekeler,RB,4,4,4,4.0
Travis Kelce,TE,5,5,6,5.3
Tyreek Hill,WR,6,6,5,5.7
Cooper Kupp,WR,7,9,7,7.7
Bijan Robinson,RB,9,7,9,8.3
Saquon Barkley,RB,11,8,8,9.0
Nick Chubb,RB,8,10,10,9.3
Stefon Diggs,WR,10,11,12,11.0
CeeDee Lamb,WR,13,15,11,13.0
A.J. Brown,WR,16,12,16,14.7
Derrick Henry,RB,12,13,21,15.3
Patrick Mahomes II,QB,15,14,17,15.3
Tony Pollard,RB,14,20,13,15.7
Josh Jacobs,RB,18,18,14,16.7
Davante Adams,WR,17,16,20,17.7
Amon-Ra St. Brown,WR,20,17,19,18.7
Garrett Wilson,WR,21,22,15,19.3
Josh Allen,QB,23,19,18,20.0
Jalen Hurts,QB,22,24,22,22.7
Jaylen Waddle,WR,24,23,23,23.3
Najee Harris,RB,26,25,25,25.3
Chris Olave,WR,28,26,24,26.0
Travis Etienne Jr.,RB,25,29,27,27.0
DeVonta Smith,WR,27,31,26,28.0
Rhamondre Stevenson,RB,29,30,28,29.0
Jonathan Taylor,RB,19,21,49,29.7
Mark Andrews,TE,32,27,30,29.7
Tee Higgins,WR,30,28,36,31.3
Joe Mixon,RB,31,34,32,32.3
Jahmyr Gibbs,RB,36,32,31,33.0
Calvin Ridley,WR,38,38,29,35.0
Lamar Jackson,QB,37,33,35,35.0
DK Metcalf,WR,35,36,37,36.0
Joe Burrow,QB,41,37,33,37.0
Deebo Samuel,WR,39,35,40,38.0
Aaron Jones,RB,33,40,42,38.3
Kenneth Walker III,RB,43,42,38,41.0
Amari Cooper,WR,40,43,41,41.3
Dameon Pierce,RB,45,48,34,42.3
Breece Hall,RB,34,39,58,43.7
Keenan Allen,WR,47,41,43,43.7
Justin Herbert,QB,50,45,39,44.7
