name,position,Yahoo,Sleeper,RTSports,AVG,Real-Time   (?)
Ja'Marr Chase,WR,1,1,1,1.0,1
Bijan Robinson,RB,2,2,2,2.0,2
Saquon Barkley,RB,3,3,4,3.3,3
Jahmyr Gibbs,RB,4,4,3,3.7,4
Justin Jefferson,WR,5,5,6,5.3,
CeeDee Lamb,WR,6,6,5,5.7,
Christian McCaffrey,RB,7,8,7,7.3,7
Derrick Henry,RB,8,7,12,9.0,8
Amon-Ra St. Brown,WR,10,9,10,9.7,9
Ashton Jeanty,RB,12,10,8,10.0,10
Malik Nabers,WR,11,11,9,10.3,11
Nico Collins,WR,9,14,11,11.3,12
Josh Jacobs,RB,15,13,13,13.7,13
Puka Nacua,WR,13,12,17,14.0,
Brian Thomas Jr.,WR,14,21,14,16.3,
De'Von Achane,RB,17,15,18,16.7,
Drake London,WR,16,17,19,17.3,
Jonathan Taylor,RB,18,16,20,18.0,
Bucky Irving,RB,19,24,16,19.7,
A.J. Brown,WR,20,18,25,21.0,
Chase Brown,RB,24,25,15,21.3,21
Lamar Jackson,QB,22,20,22,21.3,
Brock Bowers,TE,21,22,21,21.3,
Josh Allen,QB,23,19,24,22.0,
Kyren Williams,RB,26,23,23,24.0,25
Ladd McConkey,WR,25,26,30,27.0,26
Trey McBride,TE,27,29,27,27.7,27
James Cook,RB,31,28,29,29.3,
Omarion Hampton,RB,35,30,26,30.3,
Jayden Daniels,QB,28,35,28,30.3,
Tyreek Hill,WR,36,27,31,31.3,
Tee Higgins,WR,30,31,37,32.7,
Jaxon Smith-Njigba,WR,33,32,34,33.0,
George Kittle,TE,29,37,39,35.0,
Jalen Hurts,QB,32,33,41,35.3,
Alvin Kamara,RB,43,38,32,37.7,
Joe Burrow,QB,41,40,33,38.0,
Breece Hall,RB,45,34,36,38.3,
Marvin Harrison Jr.,WR,37,36,45,39.3,39
Mike Evans,WR,34,39,46,39.7,
Kenneth Walker III,RB,39,41,40,40.0,
Terry McLaurin,WR,40,43,38,40.3,
Garrett Wilson,WR,38,42,44,41.3,
Chuba Hubbard,RB,42,45,42,43.0,44
Davante Adams,WR,44,44,43,43.7,
TreVeyon Henderson,RB,54,49,35,46.0,
James Conner,RB,46,47,48,47.0,
DK Metcalf,WR,49,46,53,49.3,48
Patrick Mahomes II,QB,48,53,56,52.3,
RJ Harvey,RB,55,54,50,53.0,
Sam LaPorta,TE,47,48,65,53.3,
Courtland Sutton,WR,62,50,49,53.7,
DJ Moore,WR,59,51,52,54.0,
David Montgomery,RB,51,52,62,55.0,
DeVonta Smith,WR,50,57,59,55.3,
Tony Pollard,RB,53,65,54,57.3,
Xavier Worthy,WR,57,58,57,57.3,
