name,position,ESPN,RTSports,MFL,Fantrax,FFC,Sleeper,AVG
Christian McCaffrey,RB,1,1,1,1,1,1,1.0
Dalvin Cook,RB,2,2,2,2,2,2,2.0
Alvin Kamara,RB,3,3,3,3,3,3,3.0
Derrick Henry,RB,4,4,4,4,5,4,4.0
Ezekiel Elliott,RB,8,5,5,5,4,5,5.6
Davante Adams,WR,6,6,6,6,6,10,6.8
Travis Kelce,TE,7,9,9,8,9,11,8.4
Aaron Jones,RB,10,11,7,11,7,12,9.2
Saquon Barkley,RB,5,10,11,10,12,7,9.6
Nick Chubb,RB,12,12,10,9,11,6,10.0
Jonathan Taylor,RB,11,7,13,7,15,8,10.4
Austin Ekeler,RB,13,8,12,12,8,13,10.6
Tyreek Hill,WR,9,13,8,13,10,9,10.6
Stefon Diggs,WR,14,15,14,14,14,14,14.0
Najee Harris,RB,15,16,15,15,13,18,15.4
DeAndre Hopkins,WR,16,19,17,17,17,16,16.8
Antonio Gibson,RB,17,14,20,16,16,21,18.0
Patrick Mahomes II,QB,19,24,16,21,23,15,18.8
Calvin Ridley,WR,20,18,19,18,18,20,18.8
D.K. Metcalf,WR,18,20,18,20,19,17,19.0
Joe Mixon,RB,24,17,21,19,20,19,20.6
Darren Waller,TE,21,21,22,23,22,26,22.2
Justin Jefferson,WR,23,22,24,24,24,24,23.4
Clyde Edwards-Helaire,RB,26,23,23,22,21,25,23.8
A.J. Brown,WR,22,26,26,25,25,22,24.0
George Kittle,TE,25,31,28,26,31,23,26.8
Keenan Allen,WR,27,30,25,27,26,28,27.4
Terry McLaurin,WR,28,27,31,31,30,30,30.0
Josh Allen,QB,29,34,27,34,34,27,30.2
David Montgomery,RB,34,25,32,28,27,35,30.8
Allen Robinson II,WR,31,33,33,29,33,32,31.6
Chris Carson,RB,39,32,29,32,29,34,33.0
CeeDee Lamb,WR,33,28,35,33,32,42,33.0
James Robinson,RB,30,29,41,37,28,36,34.6
Mike Evans,WR,32,41,30,36,38,33,35.2
D'Andre Swift,RB,46,35,42,30,36,31,36.0
Josh Jacobs,RB,40,36,36,35,35,29,36.4
Miles Sanders,RB,35,39,34,39,39,38,38.0
Robert Woods,WR,36,37,40,38,37,48,38.2
Kyler Murray,QB,38,45,38,42,42,37,39.4
Amari Cooper,WR,37,42,43,40,40,43,41.2
Chris Godwin,WR,43,40,39,41,48,44,41.6
Lamar Jackson,QB,42,56,37,50,52,41,44.4
