name,position,ESPN,Sleeper,CBS,NFL,RTSports,Fantrax,AVG
Ja'Marr Chase,WR,1,1,1,1,1,1,1.0
Bijan Robinson,RB,2,3,2,4,2,2,2.5
Saquon Barkley,RB,3,2,3,2,4,5,3.2
Justin Jefferson,WR,4,4,5,5,6,3,4.5
Jahmyr Gibbs,RB,5,5,4,6,3,4,4.5
CeeDee Lamb,WR,6,6,6,3,5,6,5.3
Christian McCaffrey,RB,7,12,8,11,7,7,8.7
Puka Nacua,WR,8,8,14,7,13,8,9.7
Amon-Ra St. Brown,WR,9,7,13,8,10,11,9.7
Malik Nabers,WR,10,10,11,10,8,9,9.7
Derrick Henry,RB,12,9,7,9,12,13,10.3
Ashton Jeanty,RB,11,11,10,12,9,10,10.5
De'Von Achane,RB,13,14,9,13,11,15,12.5
Nico Collins,WR,14,13,16,16,14,12,14.2
Brian Thomas Jr.,WR,15,15,18,14,16,14,15.3
Josh Jacobs,RB,18,19,12,18,15,21,17.2
Brock Bowers,TE,19,16,23,19,21,17,19.2
A.J. Brown,WR,17,18,26,15,23,18,19.5
Drake London,WR,21,17,25,20,20,16,19.8
Jonathan Taylor,RB,16,23,21,22,19,19,20.0
Josh Allen,QB,20,20,17,21,25,24,21.2
Lamar Jackson,QB,22,22,15,17,24,28,21.3
Bucky Irving,RB,23,21,20,25,18,22,21.5
Kyren Williams,RB,31,26,19,24,22,27,24.8
Chase Brown,RB,25,28,22,34,17,29,25.8
Ladd McConkey,WR,30,24,29,23,30,20,26.0
Trey McBride,TE,24,27,36,26,27,23,27.2
Tee Higgins,WR,26,30,31,31,35,26,29.8
Tyreek Hill,WR,29,25,37,36,28,30,30.8
James Cook,RB,32,32,28,28,31,35,31.0
Jayden Daniels,QB,27,31,32,27,34,36,31.2
Jaxon Smith-Njigba,WR,36,29,40,39,33,25,33.7
Breece Hall,RB,50,34,30,30,26,33,33.8
Joe Burrow,QB,33,39,24,35,36,39,34.3
Jalen Hurts,QB,28,35,33,32,44,42,35.7
Alvin Kamara,RB,39,40,27,46,32,43,37.8
Garrett Wilson,WR,41,33,47,37,39,31,38.0
George Kittle,TE,35,37,39,38,40,41,38.3
Omarion Hampton,RB,40,41,41,48,29,34,38.8
Davante Adams,WR,34,43,35,42,41,38,38.8
Mike Evans,WR,42,38,38,33,47,37,39.2
Kenneth Walker III,RB,37,44,34,40,37,48,40.0
Marvin Harrison Jr.,WR,46,36,45,41,43,32,40.5
Terry McLaurin,WR,38,42,43,29,48,44,40.7
Chuba Hubbard,RB,43,46,44,54,38,50,45.8
James Conner,RB,49,50,42,49,46,55,48.5
DJ Moore,WR,54,49,53,47,49,40,48.7
DK Metcalf,WR,45,45,48,58,50,52,49.7
Patrick Mahomes II,QB,44,52,46,44,61,60,51.2
TreVeyon Henderson,RB,51,63,51,64,42,45,52.7
Courtland Sutton,WR,59,51,54,52,52,49,52.8
Sam LaPorta,TE,47,48,58,45,66,58,53.7
DeVonta Smith,WR,61,54,57,53,56,47,54.7
Xavier Worthy,WR,48,56,50,67,63,46,55.0
Rashee Rice,WR,58,47,71,43,62,69,58.3
David Montgomery,RB,60,53,56,66,58,62,59.2
D'Andre Swift,RB,56,70,52,60,45,76,59.8
Jameson Williams,WR,68,60,67,56,64,51,61.0
Zay Flowers,WR,55,55,63,71,71,54,61.5
Tetairoa McMillan,WR,73,59,65,74,53,53,62.8
T.J. Hockenson,TE,53,57,73,51,75,72,63.5
Baker Mayfield,QB,52,66,55,59,73,77,63.7
Travis Kelce,TE,57,62,61,57,65,80,63.7
Calvin Ridley,WR,62,72,66,69,57,61,64.5
RJ Harvey,RB,75,64,60,72,51,67,64.8
Isiah Pacheco,RB,69,61,68,62,55,74,64.8
Aaron Jones Sr.,RB,72,69,49,76,59,65,65.0
George Pickens,WR,63,58,64,75,67,63,65.0
Travis Hunter,WR,67,67,77,61,72,57,66.8
Tony Pollard,RB,74,76,62,80,54,71,69.5
