name,position,MFL,Fantrax,RTSports,FFC,Sleeper,AVG
Jonathan Taylor,RB,,,1,,1,1.0
Christian McCaffrey,RB,,,2,,3,2.5
Austin Ekeler,RB,,,3,,4,3.5
Derrick Henry,RB,,,8,,2,5.0
Justin Jefferson,WR,,,4,,8,6.0
Dalvin Cook,RB,,,7,,5,6.0
Cooper Kupp,WR,,,5,,7,6.0
Najee Harris,RB,,,6,,6,6.0
Joe Mixon,RB,,,11,,9,10.0
Ja'Marr Chase,WR,,,9,,11,10.0
D'Andre Swift,RB,,,10,,15,12.5
Davante Adams,WR,,,15,,12,13.5
Alvin Kamara,RB,,,14,,14,14.0
Travis Kelce,TE,,,16,,13,14.5
Stefon Diggs,WR,,,13,,16,14.5
Nick Chubb,RB,,,20,,10,15.0
Saquon Barkley,RB,,,12,,18,15.0
Javonte Williams,RB,,,17,,22,19.5
Josh Allen,QB,,,19,,20,19.5
Aaron Jones,RB,,,23,,17,20.0
Deebo Samuel,WR,,,18,,23,20.5
CeeDee Lamb,WR,,,22,,19,20.5
Tyreek Hill,WR,,,24,,21,22.5
Leonard Fournette,RB,,,21,,25,23.0
Mark Andrews,TE,,,25,,24,24.5
Mike Evans,WR,,,26,,27,26.5
Ezekiel Elliott,RB,,,28,,26,27.0
James Conner,RB,,,27,,28,27.5
A.J. Brown,WR,,,29,,30,29.5
Patrick Mahomes II,QB,,,31,,29,30.0
Kyle Pitts,TE,,,32,,32,32.0
Keenan Allen,WR,,,34,,31,32.5
Justin Herbert,QB,,,35,,33,34.0
Michael Pittman Jr.,WR,,,30,,39,34.5
Tee Higgins,WR,,,36,,34,35.0
Travis Etienne Jr.,RB,,,33,,40,36.5
Cam Akers,RB,,,38,,35,36.5
David Montgomery,RB,,,37,,37,37.0
Breece Hall,RB,,,44,,38,41.0
DJ Moore,WR,,,39,,43,41.0
George Kittle,TE,,,48,,36,42.0
Courtland Sutton,WR,,,40,,48,44.0
Lamar Jackson,QB,,,47,,42,44.5
Mike Williams,WR,,,43,,46,44.5
Terry McLaurin,WR,,,50,,41,45.5
Elijah Mitchell,RB,,,41,,56,48.5
Josh Jacobs,RB,,,53,,44,48.5
Darren Waller,TE,,,52,,45,48.5
J.K. Dobbins,RB,,,46,,51,48.5
Diontae Johnson,WR,,,49,,49,49.0
AJ Dillon,RB,,,45,,58,51.5
DK Metcalf,WR,,,58,,47,52.5
Jaylen Waddle,WR,,,57,,50,53.5
Kyler Murray,QB,,,56,,53,54.5
Jalen Hurts,QB,,,51,,63,57.0
Antonio Gibson,RB,,,64,,52,58.0
Allen Robinson II,WR,,,59,,57,58.0
Joe Burrow,QB,,,63,,54,58.5
Amon-Ra St. Brown,WR,,,55,,68,61.5
Dalton Schultz,TE,,,65,,60,62.5
Brandin Cooks,WR,,,62,,65,63.5
Gabriel Davis,WR,,,54,,74,64.0
Marquise Brown,WR,,,68,,61,64.5
Chris Godwin,WR,,,66,,64,65.0
Clyde Edwards-Helaire,RB,,,74,,59,66.5
Jerry Jeudy,WR,,,80,,55,67.5
Michael Thomas,WR,,,69,,66,67.5
Dameon Pierce,RB,,,42,,94,68.0
Darnell Mooney,WR,,,60,,76,68.0
Adam Thielen,WR,,,71,,70,70.5
Amari Cooper,WR,,,83,,62,72.5
T.J. Hockenson,TE,,,78,,67,72.5
JuJu Smith-Schuster,WR,,,73,,72,72.5
Chase Edmonds,RB,,,61,,87,74.0
Tom Brady,QB,,,76,,75,75.5
Tony Pollard,RB,,,70,,84,77.0
Russell Wilson,QB,,,82,,73,77.5
Cordarrelle Patterson,RB,,,77,,79,78.0
Rashaad Penny,RB,,,67,,90,78.5
Miles Sanders,RB,,,86,,71,78.5
Devin Singletary,RB,,,75,,82,78.5
Damien Harris,RB,,,89,,69,79.0
Dallas Goedert,TE,,,81,,77,79.0
Rashod Bateman,WR,,,79,,80,79.5
Kareem Hunt,RB,,,85,,78,81.5
Dak Prescott,QB,,,84,,83,83.5
Rhamondre Stevenson,RB,,,72,,99,85.5
DeAndre Hopkins,WR,,,87,,85,86.0
Aaron Rodgers,QB,,,92,,88,90.0
Elijah Moore,WR,,,90,,92,91.0
Ken Walker III,RB,,,102,,81,91.5
Allen Lazard,WR,,,88,,95,91.5
DeVonta Smith,WR,,,93,,91,92.0
Drake London,WR,,,101,,89,95.0
Hunter Renfrow,WR,,,97,,93,95.0
Brandon Aiyuk,WR,,,94,,97,95.5
Dawson Knox,TE,,,108,,86,97.0
Melvin Gordon III,RB,,,96,,98,97.0
Zach Ertz,TE,,,99,,96,97.5
Christian Kirk,WR,,,91,,108,99.5
Matthew Stafford,QB,,,100,,100,100.0
James Cook,RB,,,98,,103,100.5
Robert Woods,WR,,,95,,109,102.0
Trey Lance,QB,,,103,,105,104.0
Chris Olave,WR,,,109,,104,106.5
Derek Carr,QB,,,105,,111,108.0
James Robinson,RB,,,104,,115,109.5
Tyler Lockett,WR,,,113,,106,109.5
Treylon Burks,WR,,,121,,102,111.5
Pat Freiermuth,TE,,,114,,110,112.0
George Pickens,WR,,,107,,121,114.0
Michael Carter,RB,,,111,,117,114.0
Darrell Henderson Jr.,RB,,,110,,123,116.5
Chase Claypool,WR,,,123,,114,118.5
Cole Kmet,TE,,,115,,122,118.5
Kirk Cousins,QB,,,106,,132,119.0
Alexander Mattison,RB,,,120,,118,119.0
Skyy Moore,WR,,,125,,116,120.5
Kadarius Toney,WR,,,117,,124,120.5
Buffalo Bills,DST,,,138,,107,122.5
Justin Tucker,K,,,149,,101,125.0
Nyheim Hines,RB,,,116,,136,126.0
Kenneth Gainwell,RB,,,112,,148,130.0
Tampa Bay Buccaneers,DST,,,144,,119,131.5
Michael Gallup,WR,,,124,,139,131.5
Garrett Wilson,WR,,,153,,113,133.0
Mike Gesicki,TE,,,150,,120,135.0
Tua Tagovailoa,QB,,,126,,145,135.5
Hunter Henry,TE,,,130,,141,135.5
Julio Jones,WR,,,142,,130,136.0
Rachaad White,RB,,,127,,146,136.5
Tyler Boyd,WR,,,132,,142,137.0
Marquez Valdes-Scantling,WR,,,151,,125,138.0
Tyler Allgeier,RB,,,129,,147,138.0
Brian Robinson Jr.,RB,,,141,,137,139.0
Raheem Mostert,RB,,,119,,163,141.0
