name,position,CBS,Sleeper,RTSports,AVG
Christian McCaffrey,RB,,1,1,1.0
Tyreek Hill,WR,,2,3,2.5
CeeDee Lamb,WR,,3,2,2.5
Justin Jefferson,WR,,4,7,5.5
Bijan Robinson,RB,,6,5,5.5
Breece Hall,RB,,8,4,6.0
Ja'Marr Chase,WR,,5,8,6.5
Amon-Ra St. Brown,WR,,7,6,6.5
A.J. Brown,WR,,9,11,10.0
Saquon Barkley,RB,,12,9,10.5
Jonathan Taylor,RB,,11,10,10.5
Jahmyr Gibbs,RB,,10,13,11.5
Garrett Wilson,WR,,13,12,12.5
Puka Nacua,WR,,15,14,14.5
Marvin Harrison Jr.,WR,,14,16,15.0
Travis Etienne Jr.,RB,,16,15,15.5
Kyren Williams,RB,,17,19,18.0
Derrick Henry,RB,,18,20,19.0
Josh Jacobs,RB,,24,17,20.5
De'Von Achane,RB,,23,18,20.5
Drake London,WR,,19,23,21.0
Davante Adams,WR,,21,22,21.5
Josh Allen,QB,,20,24,22.0
Isiah Pacheco,RB,,28,21,24.5
Chris Olave,WR,,22,29,25.5
Deebo Samuel Sr.,WR,,27,26,26.5
Nico Collins,WR,,33,25,29.0
Travis Kelce,TE,,25,36,30.5
Jalen Hurts,QB,,31,30,30.5
Sam LaPorta,TE,,30,32,31.0
Patrick Mahomes II,QB,,32,34,33.0
James Cook,RB,,40,27,33.5
Rachaad White,RB,,37,31,34.0
Brandon Aiyuk,WR,,26,43,34.5
Michael Pittman Jr.,WR,,44,28,36.0
Cooper Kupp,WR,,39,33,36.0
Mike Evans,WR,,29,46,37.5
Lamar Jackson,QB,,36,40,38.0
Jaylen Waddle,WR,,35,42,38.5
DJ Moore,WR,,38,39,38.5
Stefon Diggs,WR,,34,44,39.0
DK Metcalf,WR,,41,38,39.5
Kenneth Walker III,RB,,45,35,40.0
Joe Mixon,RB,,43,41,42.0
Alvin Kamara,RB,,50,37,43.5
Malik Nabers,WR,,42,47,44.5
DeVonta Smith,WR,,47,45,46.0
Trey McBride,TE,,48,49,48.5
Dalton Kincaid,TE,,51,48,49.5
Mark Andrews,TE,,49,50,49.5
C.J. Stroud,QB,,46,55,50.5
Anthony Richardson,QB,,53,53,53.0
Aaron Jones,RB,,56,56,56.0
Amari Cooper,WR,,55,59,57.0
D'Andre Swift,RB,,64,51,57.5
James Conner,RB,,59,57,58.0
George Pickens,WR,,60,58,59.0
Rhamondre Stevenson,RB,,66,54,60.0
Tee Higgins,WR,,57,64,60.5
Zay Flowers,WR,,52,72,62.0
Tank Dell,WR,,54,75,64.5
George Kittle,TE,,58,71,64.5
Terry McLaurin,WR,,68,61,64.5
Kyle Pitts,TE,,61,69,65.0
David Montgomery,RB,,63,67,65.0
Kyler Murray,QB,,70,62,66.0
Rashee Rice,WR,,81,52,66.5
Zamir White,RB,,73,60,66.5
Najee Harris,RB,,69,65,67.0
Christian Kirk,WR,,67,68,67.5
Joe Burrow,QB,,62,74,68.0
Evan Engram,TE,,71,70,70.5
Keenan Allen,WR,,65,81,73.0
Jordan Love,QB,,82,66,74.0
Chris Godwin,WR,,79,73,76.0
Raheem Mostert,RB,,75,78,76.5
Javonte Williams,RB,,91,63,77.0
Dak Prescott,QB,,77,77,77.0
Tony Pollard,RB,,78,80,79.0
Calvin Ridley,WR,,80,79,79.5
Jayden Reed,WR,,74,90,82.0
Xavier Worthy,WR,,76,91,83.5
Jake Ferguson,TE,,85,86,85.5
Devin Singletary,RB,,96,76,86.0
Zack Moss,RB,,89,85,87.0
Diontae Johnson,WR,,94,82,88.0
Jaylen Warren,RB,,93,84,88.5
David Njoku,TE,,87,94,90.5
Rome Odunze,WR,,72,110,91.0
Brock Bowers,TE,,83,100,91.5
Brian Robinson Jr.,RB,,103,83,93.0
Jonathon Brooks,RB,,90,96,93.0
Austin Ekeler,RB,,95,92,93.5
Nick Chubb,RB,,86,102,94.0
Jaxon Smith-Njigba,WR,,102,93,97.5
Caleb Williams,QB,,99,97,98.0
Brock Purdy,QB,,97,101,99.0
Christian Watson,WR,,100,98,99.0
Ladd McConkey,WR,,88,111,99.5
DeAndre Hopkins,WR,,101,99,100.0
Jordan Addison,WR,,84,117,100.5
Jayden Daniels,QB,,112,89,100.5
Jerome Ford,RB,,116,87,101.5
Tyjae Spears,RB,,108,95,101.5
Chase Brown,RB,,117,88,102.5
Marquise Brown,WR,,92,119,105.5
Tua Tagovailoa,QB,,106,106,106.0
Keon Coleman,WR,,98,115,106.5
Jameson Williams,WR,,111,103,107.0
Courtland Sutton,WR,,114,104,109.0
Jared Goff,QB,,113,105,109.0
Brian Thomas Jr.,WR,,105,113,109.0
Ezekiel Elliott,RB,,110,109,109.5
Gus Edwards,RB,,104,116,110.0
Trey Benson,RB,,109,112,110.5
Blake Corum,RB,,115,107,111.0
Dallas Goedert,TE,,107,123,115.0
Chuba Hubbard,RB,,130,108,119.0
Romeo Doubs,WR,,121,121,121.0
J.K. Dobbins,RB,,131,114,122.5
Curtis Samuel,WR,,120,127,123.5
Trevor Lawrence,QB,,127,120,123.5
Khalil Shakir,WR,,126,122,124.0
T.J. Hockenson,TE,,119,131,125.0
Justin Herbert,QB,,123,129,126.0
Dalton Schultz,TE,,118,137,127.5
Zach Charbonnet,RB,,128,128,128.0
Rico Dowdle,RB,,139,118,128.5
Pat Freiermuth,TE,,124,134,129.0
Joshua Palmer,WR,,138,124,131.0
