name,position,Sleeper,RTSports,AVG,Real-Time   (?)
Ja'Marr Chase,WR,1,1,1.0,1
Bijan Robinson,RB,3,2,2.5,2
Saquon Barkley,RB,2,4,3.0,3
Jahmyr Gibbs,RB,5,3,4.0,4
Justin Jefferson,WR,4,6,5.0,
CeeDee Lamb,WR,6,5,5.5,
Amon-Ra St. Brown,WR,8,10,9.0,
Malik Nabers,WR,9,9,9.0,
Ashton Jeanty,RB,11,8,9.5,9
Christian McCaffrey,RB,14,7,10.5,
Derrick Henry,RB,10,12,11.0,
Nico Collins,WR,12,11,11.5,12
Puka Nacua,WR,7,17,12.0,
Brian Thomas Jr.,WR,13,14,13.5,
Josh Jacobs,RB,20,13,16.5,
Bucky Irving,RB,17,16,16.5,
De'Von Achane,RB,16,18,17.0,
Brock Bowers,TE,15,21,18.0,
Drake London,WR,18,19,18.5,
Chase Brown,RB,28,15,21.5,
Jonathan Taylor,RB,23,20,21.5,
A.J. Brown,WR,19,25,22.0,
Josh Allen,QB,22,24,23.0,
Lamar Jackson,QB,25,22,23.5,
Kyren Williams,RB,27,23,25.0,
Ladd McConkey,WR,21,30,25.5,26
Trey McBride,TE,24,27,25.5,
Jayden Daniels,QB,30,28,29.0,
Jaxon Smith-Njigba,WR,26,34,30.0,
Tyreek Hill,WR,29,31,30.0,
James Cook,RB,35,29,32.0,
Omarion Hampton,RB,39,26,32.5,
Tee Higgins,WR,31,37,34.0,
Breece Hall,RB,33,36,34.5,
Terry McLaurin,WR,34,38,36.0,
Alvin Kamara,RB,44,32,38.0,
Garrett Wilson,WR,32,44,38.0,
Joe Burrow,QB,43,33,38.0,
George Kittle,TE,38,39,38.5,
Marvin Harrison Jr.,WR,36,45,40.5,40
Jalen Hurts,QB,40,41,40.5,
Mike Evans,WR,37,46,41.5,
Kenneth Walker III,RB,45,40,42.5,
Davante Adams,WR,42,43,42.5,
Chuba Hubbard,RB,47,42,44.5,
TreVeyon Henderson,RB,63,35,49.0,
James Conner,RB,51,48,49.5,
Courtland Sutton,WR,50,49,49.5,
DJ Moore,WR,48,52,50.0,
DK Metcalf,WR,49,53,51.0,
RJ Harvey,RB,58,50,54.0,
Tetairoa McMillan,WR,60,51,55.5,
DeVonta Smith,WR,54,59,56.5,
Xavier Worthy,WR,56,57,56.5,
Sam LaPorta,TE,52,65,58.5,
David Montgomery,RB,55,62,58.5,
Isiah Pacheco,RB,62,55,58.5,
Jameson Williams,WR,57,60,58.5,
Patrick Mahomes II,QB,64,56,60.0,
Rashee Rice,WR,41,80,60.5,
D'Andre Swift,RB,75,47,61.0,
Zay Flowers,WR,53,70,61.5,
George Pickens,WR,61,63,62.0,
Tony Pollard,RB,73,54,63.5,
Aaron Jones Sr.,RB,67,61,64.0,
Calvin Ridley,WR,77,58,67.5,
T.J. Hockenson,TE,59,78,68.5,
Jerry Jeudy,WR,71,66,68.5,
Travis Hunter,WR,65,73,69.0,
Travis Kelce,TE,76,64,70.0,
Baker Mayfield,QB,74,67,70.5,
Jaylen Waddle,WR,68,75,71.5,
Chris Olave,WR,69,76,72.5,
Tyrone Tracy Jr.,RB,80,68,74.0,
Kaleb Johnson,RB,79,77,78.0,
Bo Nix,QB,85,72,78.5,
Rome Odunze,WR,78,81,79.5,77
Jaylen Warren,RB,87,74,80.5,
Joe Mixon,RB,46,119,82.5,
Ricky Pearsall,WR,97,69,83.0,
Jordan Addison,WR,70,98,84.0,
Deebo Samuel Sr.,WR,88,83,85.5,
Mark Andrews,TE,82,94,88.0,
Matthew Golden,WR,100,79,89.5,
Stefon Diggs,WR,94,85,89.5,
Jakobi Meyers,WR,84,96,90.0,
Cooper Kupp,WR,92,88,90.0,
Travis Etienne Jr.,RB,90,90,90.0,88
Evan Engram,TE,91,91,91.0,
Khalil Shakir,WR,83,101,92.0,
Chris Godwin Jr.,WR,72,113,92.5,
Emeka Egbuka,WR,117,71,94.0,
Kyler Murray,QB,96,95,95.5,
Zach Charbonnet,RB,108,84,96.0,
Tyler Warren,TE,101,92,96.5,
Quinshon Judkins,RB,66,128,97.0,
Brian Robinson Jr.,RB,81,115,98.0,
Javonte Williams,RB,104,93,98.5,
Jordan Mason,RB,116,82,99.0,
David Njoku,TE,99,100,99.5,
Jared Goff,QB,98,102,100.0,
Jauan Jennings,WR,102,105,103.5,
Dak Prescott,QB,121,87,104.0,
Najee Harris,RB,89,120,104.5,
Cam Skattebo,RB,106,104,105.0,
Caleb Williams,QB,115,97,106.0,
Rhamondre Stevenson,RB,105,111,108.0,
Jayden Reed,WR,95,122,108.5,
Tucker Kraft,TE,114,103,108.5,
Michael Pittman Jr.,WR,110,109,109.5,
J.K. Dobbins,RB,132,89,110.5,
Brock Purdy,QB,111,110,110.5,
Josh Downs,WR,103,123,113.0,
Justin Herbert,QB,109,121,115.0,
Colston Loveland,TE,120,112,116.0,
Keon Coleman,WR,118,116,117.0,
Jonnu Smith,TE,86,151,118.5,
Tank Bigsby,RB,131,106,118.5,
Brandon Aiyuk,WR,93,145,119.0,
Justin Fields,QB,124,114,119.0,
Austin Ekeler,RB,142,99,120.5,
Darnell Mooney,WR,107,134,120.5,
Jake Ferguson,TE,122,125,123.5,
Dalton Kincaid,TE,113,140,126.5,
Drake Maye,QB,130,124,127.0,
Jaydon Blue,RB,139,117,128.0,
Jayden Higgins,WR,119,137,128.0,
Rachaad White,RB,126,131,128.5,
Jordan Love,QB,123,139,131.0,
C.J. Stroud,QB,127,136,131.5,
Tyjae Spears,RB,112,153,132.5,
Marvin Mims Jr.,WR,135,130,132.5,
Bhayshul Tuten,RB,137,132,134.5,
Jerome Ford,RB,152,118,135.0,
Trey Benson,RB,149,126,137.5,
Rashid Shaheed,WR,129,149,139.0,
Trevor Lawrence,QB,145,133,139.0,
J.J. McCarthy,QB,140,138,139.0,138
Kyle Pitts Sr.,TE,136,143,139.5,
Nick Chubb,RB,172,108,140.0,
Braelon Allen,RB,174,107,140.5,
Rico Dowdle,RB,134,147,140.5,
Dallas Goedert,TE,125,160,142.5,
Ray Davis,RB,146,141,143.5,
Luther Burden III,WR,133,155,144.0,
Christian Kirk,WR,138,150,144.0,
Denver Broncos,DST,155,142,148.5,
Tyler Allgeier,RB,153,148,150.5,
Dylan Sampson,RB,168,135,151.5,
Tre' Harris,WR,128,179,153.5,
Tua Tagovailoa,QB,162,146,154.0,
Marquise Brown,WR,150,158,154.0,
Hunter Henry,TE,156,154,155.0,
Philadelphia Eagles,DST,151,161,156.0,
Keenan Allen,WR,184,129,156.5,
Zach Ertz,TE,158,167,162.5,
Michael Penix Jr.,QB,166,159,162.5,
Bryce Young,QB,171,157,164.0,
Cam Ward,QB,161,170,165.5,
Pittsburgh Steelers,DST,160,174,167.0,
Matthew Stafford,QB,163,171,167.0,
DeAndre Hopkins,WR,183,156,169.5,
Rashod Bateman,WR,148,198,173.0,
Isaac Guerendo,RB,144,203,173.5,
Adam Thielen,WR,165,182,173.5,
Xavier Legette,WR,182,165,173.5,
Geno Smith,QB,186,162,174.0,
Brenton Strange,TE,179,169,174.0,
Cedric Tillman,WR,176,172,174.0,
Kyle Williams,WR,143,211,177.0,
Kyle Monangai,RB,208,152,180.0,
Jack Bech,WR,147,215,181.0,
Isaiah Likely,TE,154,208,181.0,
Minnesota Vikings,DST,167,195,181.0,
Sam Darnold,QB,192,173,182.5,
Aaron Rodgers,QB,194,175,184.5,
Jacory Croskey-Merritt,RB,284,86,185.0,
Wan'Dale Robinson,WR,181,189,185.0,
Mason Taylor,TE,170,202,186.0,
Cade Otton,TE,180,192,186.0,
Brandon Aubrey,K,229,144,186.5,
Houston Texans,DST,202,176,189.0,
Baltimore Ravens,DST,191,187,189.0,
Kareem Hunt,RB,216,164,190.0,184
Justice Hill,RB,203,177,190.0,
Joshua Palmer,WR,187,193,190.0,
Ollie Gordon II,RB,257,127,192.0,
Blake Corum,RB,177,207,192.0,
Romeo Doubs,WR,185,199,192.0,
Chig Okonkwo,TE,207,178,192.5,
DeMario Douglas,WR,198,190,194.0,
Cameron Dicker,K,230,163,196.5,
Jaylen Wright,RB,175,220,197.5,
San Francisco 49ers,DST,164,232,198.0,
Anthony Richardson Sr.,QB,188,209,198.5,
Pat Freiermuth,TE,159,241,200.0,
Russell Wilson,QB,219,183,201.0,
Will Shipley,RB,223,180,201.5,
Buffalo Bills,DST,238,166,202.0,
Roschon Johnson,RB,178,229,203.5,
