player,position,injury_date,games_missed,body_part,site,condition
Aaron Rodgers,QB,2006-11-19,6,Pedal,Foot,Fracture
Matthew Stafford,QB,2009-10-04,2,Knee,Patella,Dislocation
Matthew Stafford,QB,2009-11-22,4,Shoulder,A\/C Joint,Separation
Matthew Stafford,QB,2009-12-06,4,Shoulder,A\/C Joint,Separation
Matthew Stafford,QB,2010-09-12,5,Shoulder,A\/C Joint,Separation
Aaron Rodgers,QB,2010-10-10,0,Head,Cranial,Concussion
Matthew Stafford,QB,2010-11-07,8,Shoulder,A\/C Joint,Separation
Aaron Rodgers,QB,2010-12-12,1,Head,Cranial,Concussion
Matthew Stafford,QB,2011-10-23,0,Pedal,Ankle,Sprain\/Pull Unspecified
Matthew Stafford,QB,2011-10-30,0,Hand,Finger,Fracture
DeAndre Hopkins,WR,2013-08-17,0,Head,Cranial,Concussion
Travis Kelce,TE,2013-09-03,14,Knee,Patella,Fracture
Aaron Rodgers,QB,2013-11-04,7,Shoulder,Clavicle,Fracture
Keenan Allen,WR,2013-11-17,0,Knee,Unspecified,Strain
Keenan Allen,WR,2013-12-08,0,Shoulder,A\/C Joint,Sprain
Odell Beckham Jr.,WR,2014-08-18,8,Thigh,Hamstring,Tear
Keenan Allen,WR,2014-09-18,0,Inguinal,Groin,Pull
Mike Evans,WR,2014-09-28,1,Inguinal,Groin,Pull
Travis Kelce,TE,2014-10-19,0,Chest,Rib,Sprain\/Pull Unspecified
Odell Beckham Jr.,WR,2014-11-23,0,Back,Vertebral,Bruise
Keenan Allen,WR,2014-12-14,2,Pedal,Ankle,Sprain\/Pull Unspecified
Keenan Allen,WR,2014-12-14,2,Shoulder,Clavicle,Fracture
Aaron Rodgers,QB,2014-12-21,0,Leg,Calf,Tear
DeAndre Hopkins,WR,2014-12-23,0,Hand,Wrist,Ligament Tear
Odell Beckham Jr.,WR,2015-06-01,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Geno Smith,QB,2015-08-11,2,Head,Jaw,Fracture
Mike Evans,WR,2015-08-24,1,Thigh,Hamstring,Sprain\/Pull Unspecified
Travis Kelce,TE,2015-08-31,0,Pedal,Ankle,Sprain\/Pull Unspecified
Davante Adams,WR,2015-09-20,0,Pedal,Ankle,Sprain\/Pull Unspecified
DeAndre Hopkins,WR,2015-09-20,0,Head,Cranial,Concussion
Davante Adams,WR,2015-09-28,3,Pedal,Ankle,Sprain
Darren Waller,TE,2015-10-11,1,Head,Cranial,Concussion
Odell Beckham Jr.,WR,2015-10-11,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Keenan Allen,WR,2015-10-18,0,Inguinal,Hip,Sprain
Marcus Mariota,QB,2015-10-18,2,Knee,MCL,Sprain
Darren Waller,TE,2015-10-26,9,Thigh,Hamstring,Strain
Mike Evans,WR,2015-11-01,0,Inguinal,Groin,Pull
Mike Evans,WR,2015-11-01,0,Abdomen,Muscle,Sprain\/Pull Unspecified
Keenan Allen,WR,2015-11-01,8,Abdomen,Kidney,Lacerated
Marcus Mariota,QB,2015-12-20,2,Knee,MCL,Sprain
Davante Adams,WR,2016-01-10,1,Knee,MCL,Sprain
Jared Goff,QB,2016-08-28,0,Back,Tailbone,Bruise
Keenan Allen,WR,2016-09-11,15,Knee,ACL,Tear
Russell Wilson,QB,2016-09-11,0,Pedal,Ankle (high),Sprain
Tyler Lockett,WR,2016-09-18,0,Knee,PCL,Tear
Jacoby Brissett,QB,2016-09-22,0,Hand,Finger,Fracture
Russell Wilson,QB,2016-09-25,0,Knee,MCL,Sprain
Stefon Diggs,WR,2016-10-03,1,Inguinal,Groin,Pull
Davante Adams,WR,2016-10-16,0,Head,Cranial,Concussion
Odell Beckham Jr.,WR,2016-10-16,0,Inguinal,Hip,Strain
Geno Smith,QB,2016-10-23,9,Knee,ACL,Tear
Hunter Henry,TE,2016-10-23,0,Head,Cranial,Concussion
Hunter Henry,TE,2016-10-30,1,Knee,Unspecified,Strain
Mike Evans,WR,2016-11-03,0,Head,Cranial,Concussion
Derrick Henry,RB,2016-11-06,1,Leg,Calf,Strain
Laquon Treadwell,WR,2016-11-10,1,Thigh,Hamstring,Sprain\/Pull Unspecified
Stefon Diggs,WR,2016-11-20,1,Knee,Unspecified,Strain
Odell Beckham Jr.,WR,2016-11-27,0,Hand,Thumb,Sprain
Matthew Stafford,QB,2016-12-09,0,Hand,Finger,Dislocation
Aaron Rodgers,QB,2016-12-11,0,Leg,Calf,Strain
Laquon Treadwell,WR,2016-12-11,3,Pedal,Ankle,Sprain
Jared Goff,QB,2016-12-15,0,Head,Cranial,Concussion
Austin Hooper,TE,2016-12-18,2,Knee,MCL,Sprain
Stefon Diggs,WR,2016-12-21,1,Inguinal,Hip,Sprain
Tyler Lockett,WR,2016-12-24,4,Leg,Fibula,Fracture
Tyler Lockett,WR,2016-12-24,4,Leg,Tibia,Fracture
Marcus Mariota,QB,2016-12-24,1,Leg,Fibula,Fracture
Travis Kelce,TE,2017-02-28,0,Shoulder,Unspecified,Unspecified
Curtis Samuel,WR,2017-07-28,2,Thigh,Hamstring,Sprain\/Pull Unspecified
James Conner,RB,2017-07-30,0,Shoulder,A\/C Joint,Sprain
Laquon Treadwell,WR,2017-07-31,2,Leg,Quad,Strain
George Kittle,TE,2017-08-01,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Sterling Shepard,WR,2017-08-02,1,Pedal,Ankle,Sprain
David Njoku,TE,2017-08-03,1,Back,Lower Lumbar,Sprain\/Pull Unspecified
JuJu Smith-Schuster,WR,2017-08-11,0,Head,Cranial,Concussion
Odell Beckham Jr.,WR,2017-08-21,1,Pedal,Ankle (high),Sprain
Cooper Kupp,WR,2017-08-22,0,Inguinal,Groin,Pull
Zay Jones,WR,2017-08-30,0,Shoulder,Labrum,Tear
Evan Engram,TE,2017-09-18,0,Head,Cranial,Concussion
Curtis Samuel,WR,2017-09-24,1,Back,Lower Lumbar,Sprain
Davante Adams,WR,2017-09-28,0,Head,Cranial,Concussion
Justin Herbert,QB,2017-09-30,5,Shoulder,Clavicle,Fracture
Marcus Mariota,QB,2017-10-01,1,Thigh,Hamstring,Sprain\/Pull Unspecified
Travis Kelce,TE,2017-10-08,0,Head,Cranial,Concussion
Sterling Shepard,WR,2017-10-08,3,Pedal,Ankle,Sprain
Odell Beckham Jr.,WR,2017-10-08,11,Pedal,Ankle,Fracture
Stefon Diggs,WR,2017-10-09,2,Inguinal,Groin,Strain
