name,team,position,consensus_adp,fp_ecr,sleeper_rank,sleep_vs_fp,landmine
Jahmyr Gibbs,DET,RB,1.0,1.0,1.0,0.0,5.5
Bijan Robinson,ATL,RB,2.0,2.0,2.0,0.0,5.5
Ja'Marr Chase,CIN,WR,3.0,3.0,3.0,0.0,5.5
Puka Nacua,LAR,WR,4.0,4.0,4.0,0.0,5.5
Jonathan Taylor,IND,RB,7.0,7.0,5.0,-0.29,5.6
Christian McCaffrey,SF,RB,6.0,8.0,6.0,-0.25,5.6
Jaxon Smith-Njigba,SEA,WR,5.0,5.0,7.0,0.4,5.4
Amon-Ra St. Brown,DET,WR,8.0,6.0,8.0,0.33,5.5
James Cook,BUF,RB,9.0,11.0,9.0,-0.18,5.5
CeeDee Lamb,DAL,WR,10.0,9.0,10.0,0.11,5.5
Ashton Jeanty,LV,RB,12.0,12.0,11.0,-0.08,5.5
Saquon Barkley,PHI,RB,13.0,16.0,12.0,-0.25,5.6
Justin Jefferson,MIN,WR,11.0,10.0,13.0,0.3,5.4
De'Von Achane,MIA,RB,14.0,18.0,14.0,-0.22,5.6
Omarion Hampton,LAC,RB,17.0,20.0,15.0,-0.25,5.7
Chase Brown,CIN,RB,16.0,14.0,16.0,0.14,5.4
Kenneth Walker,KC,RB,19.0,21.0,17.0,-0.19,5.6
Derrick Henry,BAL,RB,22.0,22.0,18.0,-0.18,5.7
A.J. Brown,NE,WR,21.0,15.0,19.0,0.27,5.4
Drake London,ATL,WR,18.0,13.0,20.0,0.54,5.2
Brock Bowers,LV,TE,20.0,17.0,21.0,0.24,5.4
Josh Allen,BUF,QB,15.0,27.0,22.0,-0.19,5.5
Nico Collins,HOU,WR,24.0,19.0,23.0,0.21,5.4
Trey McBride,ARI,TE,23.0,24.0,24.0,0.0,5.5
Jeremiyah Love,ARI,RB,27.0,40.0,25.0,-0.38,6.1
George Pickens,DAL,WR,25.0,23.0,26.0,0.13,5.4
Kyren Williams,LAR,RB,31.0,31.0,27.0,-0.13,5.7
Rashee Rice,KC,WR,29.0,26.0,28.0,0.08,5.5
Josh Jacobs,GB,RB,32.0,36.0,29.0,-0.19,5.8
Breece Hall,NYJ,RB,34.0,35.0,30.0,-0.14,5.7
Malik Nabers,NYG,WR,30.0,28.0,31.0,0.11,5.4
Chris Olave,NO,WR,28.0,25.0,32.0,0.28,5.1
Javonte Williams,DAL,RB,37.0,34.0,33.0,-0.03,5.7
DeVonta Smith,PHI,WR,33.0,29.0,34.0,0.17,5.4
Tetairoa McMillan,CAR,WR,38.0,32.0,35.0,0.09,5.5
Lamar Jackson,BAL,QB,26.0,38.0,35.0,-0.08,5.4
Cam Skattebo,NYG,RB,45.0,51.0,37.0,-0.27,6.2
Tee Higgins,CIN,WR,36.0,33.0,38.0,0.15,5.4
Emeka Egbuka,TB,WR,42.0,41.0,39.0,-0.05,5.7
Ladd McConkey,LAC,WR,43.0,39.0,40.0,0.03,5.6
Travis Etienne,NO,RB,47.0,45.0,41.0,-0.09,5.8
Zay Flowers,BAL,WR,40.0,30.0,42.0,0.4,5.0
Garrett Wilson,NYJ,WR,44.0,37.0,43.0,0.16,5.3
Colston Loveland,CHI,TE,39.0,43.0,44.0,0.02,5.4
Bucky Irving,TB,RB,50.0,55.0,45.0,-0.18,6.0
Quinshon Judkins,CLE,RB,52.0,54.0,46.0,-0.15,5.8
Jaylen Waddle,DEN,WR,46.0,42.0,47.0,0.12,5.4
TreVeyon Henderson,NE,RB,58.0,64.0,48.0,-0.25,6.5
David Montgomery,HOU,RB,57.0,56.0,49.0,-0.13,5.8
Tyler Warren,IND,TE,49.0,53.0,50.0,-0.06,5.5
Drake Maye,NE,QB,35.0,44.0,51.0,0.16,5.1
D'Andre Swift,CHI,RB,53.0,50.0,52.0,0.04,5.5
Joe Burrow,CIN,QB,41.0,49.0,53.0,0.08,5.2
Terry McLaurin,WAS,WR,54.0,46.0,54.0,0.17,5.4
Luther Burden,CHI,WR,56.0,48.0,55.0,0.15,5.3
DJ Moore,BUF,WR,61.0,58.0,56.0,-0.03,5.8
Jameson Williams,DET,WR,60.0,52.0,57.0,0.1,5.5
Davante Adams,LAR,WR,55.0,47.0,58.0,0.23,5.0
Bhayshul Tuten,JAC,RB,63.0,63.0,59.0,-0.06,5.7
Mike Evans,SF,WR,64.0,59.0,60.0,0.02,5.6
Jadarian Price,SEA,RB,69.0,65.0,61.0,-0.06,5.7
Rome Odunze,CHI,WR,65.0,60.0,62.0,0.03,5.5
Jalen Hurts,PHI,QB,51.0,62.0,63.0,0.02,5.1
Sam LaPorta,DET,TE,68.0,78.0,64.0,-0.18,6.2
Jayden Daniels,WAS,QB,48.0,61.0,65.0,0.07,4.8
Carnell Tate,TEN,WR,71.0,70.0,66.0,-0.06,5.8
Tucker Kraft,GB,TE,67.0,68.0,67.0,-0.01,5.5
Christian Watson,GB,WR,66.0,57.0,68.0,0.19,5.0
Jaylen Warren,PIT,RB,74.0,72.0,69.0,-0.04,5.7
