name,team,position,consensus_adp,fp_ecr,sleeper_rank,landmine
Jahmyr Gibbs,DET,RB,1.0,1.0,1.0,5.5
Bijan Robinson,ATL,RB,2.0,2.0,2.0,5.5
Ja'Marr Chase,CIN,WR,3.0,3.0,3.0,5.5
Puka Nacua,LAR,WR,4.0,4.0,4.0,5.5
Christian McCaffrey,SF,RB,5.0,7.0,5.0,5.5
Jonathan Taylor,IND,RB,7.0,8.0,6.0,5.6
Amon-Ra St. Brown,DET,WR,8.0,6.0,7.0,5.5
Jaxon Smith-Njigba,SEA,WR,6.0,5.0,7.0,5.4
James Cook,BUF,RB,9.0,10.0,9.0,5.5
CeeDee Lamb,DAL,WR,10.0,9.0,10.0,5.5
Saquon Barkley,PHI,RB,12.0,14.0,11.0,5.6
Justin Jefferson,MIN,WR,11.0,11.0,12.0,5.5
Ashton Jeanty,LV,RB,14.0,22.0,13.0,5.9
De'Von Achane,MIA,RB,13.0,16.0,14.0,5.5
Derrick Henry,BAL,RB,21.0,20.0,15.0,5.9
Omarion Hampton,LAC,RB,17.0,19.0,16.0,5.6
Chase Brown,CIN,RB,16.0,12.0,17.0,5.3
Kenneth Walker,KC,RB,18.0,21.0,18.0,5.6
A.J. Brown,NE,WR,22.0,15.0,19.0,5.5
Drake London,ATL,WR,19.0,13.0,20.0,5.3
Josh Allen,BUF,QB,15.0,26.0,21.0,5.5
Brock Bowers,LV,TE,20.0,18.0,22.0,5.4
Nico Collins,HOU,WR,24.0,17.0,23.0,5.4
Trey McBride,ARI,TE,23.0,25.0,24.0,5.5
George Pickens,DAL,WR,25.0,23.0,25.0,5.5
Kyren Williams,LAR,RB,31.0,31.0,26.0,5.8
Jeremiyah Love,ARI,RB,30.0,43.0,27.0,6.1
Josh Jacobs,GB,RB,32.0,40.0,28.0,5.9
Rashee Rice,KC,WR,29.0,29.0,29.0,5.5
Malik Nabers,NYG,WR,28.0,27.0,30.0,5.4
Chris Olave,NO,WR,27.0,24.0,31.0,5.1
Breece Hall,NYJ,RB,34.0,34.0,32.0,5.6
Javonte Williams,DAL,RB,35.0,33.0,33.0,5.6
DeVonta Smith,PHI,WR,33.0,28.0,34.0,5.3
Lamar Jackson,BAL,QB,26.0,36.0,35.0,5.4
Tetairoa McMillan,CAR,WR,39.0,35.0,36.0,5.6
Cam Skattebo,NYG,RB,44.0,53.0,37.0,6.2
Tee Higgins,CIN,WR,37.0,32.0,38.0,5.3
Emeka Egbuka,TB,WR,43.0,42.0,39.0,5.8
Ladd McConkey,LAC,WR,42.0,39.0,40.0,5.5
Travis Etienne,NO,RB,47.0,45.0,41.0,5.8
Zay Flowers,BAL,WR,38.0,30.0,42.0,4.9
Colston Loveland,CHI,TE,40.0,41.0,43.0,5.4
Garrett Wilson,NYJ,WR,45.0,37.0,44.0,5.3
Bucky Irving,TB,RB,50.0,54.0,45.0,5.9
David Montgomery,HOU,RB,53.0,56.0,46.0,6.1
Quinshon Judkins,CLE,RB,54.0,55.0,47.0,5.9
Jaylen Waddle,DEN,WR,46.0,38.0,47.0,5.2
D'Andre Swift,CHI,RB,52.0,47.0,49.0,5.5
TreVeyon Henderson,NE,RB,59.0,65.0,50.0,6.3
Tyler Warren,IND,TE,49.0,51.0,51.0,5.5
Drake Maye,NE,QB,36.0,44.0,52.0,5.1
Terry McLaurin,WAS,WR,56.0,46.0,53.0,5.4
Joe Burrow,CIN,QB,41.0,49.0,54.0,5.2
Davante Adams,LAR,WR,55.0,48.0,55.0,5.3
DJ Moore,BUF,WR,60.0,57.0,56.0,5.7
Jameson Williams,DET,WR,61.0,52.0,57.0,5.5
Luther Burden,CHI,WR,57.0,50.0,58.0,5.2
Jadarian Price,SEA,RB,67.0,64.0,59.0,5.8
Bhayshul Tuten,JAC,RB,63.0,63.0,60.0,5.7
Mike Evans,SF,WR,64.0,60.0,61.0,5.6
Jalen Hurts,PHI,QB,51.0,62.0,62.0,5.2
Rome Odunze,CHI,WR,65.0,61.0,63.0,5.5
Sam LaPorta,DET,TE,70.0,81.0,64.0,6.4
Jayden Daniels,WAS,QB,48.0,59.0,65.0,4.8
Tucker Kraft,GB,TE,69.0,68.0,66.0,5.7
Carnell Tate,TEN,WR,71.0,72.0,67.0,5.8
Christian Watson,GB,WR,66.0,58.0,68.0,5.1
Jaylen Warren,PIT,RB,74.0,73.0,69.0,5.7
Kyle Pitts,ATL,TE,75.0,83.0,70.0,6.1
Parker Washington,JAC,WR,76.0,66.0,71.0,5.5
Brian Thomas,JAC,WR,79.0,76.0,72.0,5.9
Marvin Harrison,ARI,WR,77.0,69.0,73.0,5.5
Harold Fannin,CLE,TE,72.0,79.0,74.0,5.6
Caleb Williams,CHI,QB,58.0,67.0,75.0,5.0
Rhamondre Stevenson,NE,RB,78.0,70.0,76.0,5.4
Chuba Hubbard,CAR,RB,85.0,90.0,77.0,6.3
DK Metcalf,PIT,WR,81.0,75.0,78.0,5.5
Justin Herbert,LAC,QB,62.0,71.0,79.0,5.0
Tony Pollard,TEN,RB,82.0,77.0,80.0,5.5
RJ Harvey,DEN,RB,90.0,101.0,81.0,6.6
Courtland Sutton,DEN,WR,86.0,85.0,82.0,5.7
Rico Dowdle,PIT,RB,83.0,80.0,83.0,5.4
Dak Prescott,DAL,QB,68.0,78.0,84.0,5.0
J.K. Dobbins,DEN,RB,92.0,86.0,85.0,5.7
Makai Lemon,PHI,WR,101.0,113.0,86.0,7.1
